threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
4.0,0,0,1,10,1,10,0.5,3302,88.89999999999999,0.21933676559662216,-0.28066323440337787,-0.06657250506470572,0.28195033313143547
4.0,0,0,1,10,1,10,0.7,3302,88.89999999999999,0.21933676559662216,-0.4806632344033779,-0.11401192491335299,0.2371290127195639
4.0,0,0,1,10,2,20,0.3,3189,85.8576923076923,0.24492003762936093,-0.0550799623706391,-0.010709442483263363,0.40357478833490124
4.0,0,0,1,10,2,20,0.5,3189,85.8576923076923,0.24492003762936093,-0.255079962370639,-0.049596333549739934,0.34619002822201317
4.0,0,0,1,10,2,20,0.7,3189,85.8576923076923,0.24492003762936093,-0.4550799623706391,-0.08848322461621655,0.29633113828786456
4.0,0,0,1,10,3,30,0.3,3081,82.94999999999999,0.2509250243427537,-0.049074975657246236,-0.008790532779700736,0.42388834793898084
4.0,0,0,1,10,3,30,0.5,3081,82.94999999999999,0.2509250243427537,-0.24907497565724626,-0.04461544216364562,0.379746835443038
4.0,0,0,1,10,3,30,0.7,3081,82.94999999999999,0.2509250243427537,-0.44907497565724613,-0.08044035154759048,0.34047387211944175
4.0,0,0,1,10,6,60,0.3,2880,77.53846153846153,0.2563541666666584,-0.04364583333334162,-0.0065771939682686366,0.45694444444444443
4.0,0,0,1,10,6,60,0.5,2880,77.53846153846153,0.2563541666666584,-0.24364583333334155,-0.036716125756033266,0.41944444444444445
4.0,0,0,1,10,6,60,0.7,2880,77.53846153846153,0.2563541666666584,-0.44364583333334157,-0.0668550575437979,0.3795138888888889
4.0,0,0,1,10,12,120,0.3,2635,70.9423076923077,0.15669829222008202,-0.14330170777991805,-0.01935277416435339,0.4478178368121442
4.0,0,0,1,10,12,120,0.5,2635,70.9423076923077,0.15669829222008202,-0.343301707779918,-0.046362604632075755,0.42087286527514234
